Order ID,Postman ID,Customer ID,"Delivery Address (Lat, Long)",Item Type,Booking Date,Delivery Date,Day of Week,Initial Time Slot,Modified Time Slot,Address Type,Delivery Outcome,Delivery Route Traffic Conditions,Weather Conditions
ORD1045,POST046,CUST146,"'25.61295189737142, -80.0258778099979'",Drivers-License,2024-12-23,2025-01-02,4,3,,3,1,2,3
ORD1046,POST047,CUST147,"'25.52512176009616, -80.06402315501276'",ID-Card,2024-12-24,2025-01-02,4,1,,2,1,3,2
ORD1047,POST048,CUST148,"'25.751987426884707, -80.06215877791716'",Passport,2024-12-25,2025-01-02,4,1,,2,1,1,1
ORD1048,POST049,CUST149,"'25.64251070881534, -79.95058491248915'",ID-Card,2024-12-26,2025-01-03,5,2,,1,1,2,3
ORD1049,POST050,CUST150,"'25.917115495199223, -80.38641843593703'",Passport,2024-12-27,2025-01-04,6,1,,3,1,3,2
ORD1050,POST001,CUST151,"'25.90318322154193, -80.25372218793099'",Drivers-License,2024-12-28,2025-01-06,1,5,4.0,2,1,1,1
ORD1051,POST002,CUST152,"'25.813977363162962, -80.17394096694369'",ID-Card,2024-12-29,2025-01-09,4,3,,3,1,2,3
ORD1052,POST003,CUST153,"'25.891111901702068, -80.13091005390012'",ID-Card,2024-12-30,2025-01-09,4,1,,3,1,3,2
ORD1053,POST004,CUST154,"'25.734784849049202, -79.99890382468922'",ID-Card,2024-12-31,2025-01-08,3,1,,2,1,1,1
ORD1054,POST005,CUST155,"'25.817085297034954, -79.97812666279009'",Passport,2024-12-01,2024-12-10,2,2,,2,1,2,3
ORD1055,POST006,CUST156,"'25.91548596347161, -80.35162616358146'",ID-Card,2024-12-02,2024-12-12,4,1,,1,1,3,2
ORD1056,POST007,CUST157,"'25.8673588520374, -80.13534655484422'",Passport,2024-12-03,2024-12-14,6,1,,3,0,1,1
ORD1057,POST008,CUST158,"'25.546064927907754, -80.14826286929018'",Passport,2024-12-04,2024-12-12,4,3,,3,1,2,3
ORD1058,POST009,CUST159,"'25.904539431501277, -80.19593994087626'",ID-Card,2024-12-05,2024-12-13,5,1,,1,1,3,2
ORD1059,POST010,CUST160,"'25.673707457471465, -80.19294514930056'",ID-Card,2024-12-06,2024-12-14,6,1,,1,1,1,1
ORD1060,POST011,CUST161,"'25.808630421681855, -80.07126311385741'",Drivers-License,2024-12-07,2024-12-19,4,2,,3,1,2,3
ORD1061,POST012,CUST162,"'25.585506102216787, -80.13498830354763'",Drivers-License,2024-12-08,2024-12-19,4,1,,3,1,3,2
ORD1062,POST013,CUST163,"'26.005937695304493, -80.19359420675778'",Drivers-License,2024-12-09,2024-12-18,3,1,,1,1,1,1
ORD1063,POST014,CUST164,"'25.76581845508411, -80.38454012891526'",Drivers-License,2024-12-10,2024-12-19,4,3,,1,1,2,3
ORD1064,POST015,CUST165,"'25.751433584081354, -80.41835639506964'",ID-Card,2024-12-11,2024-12-23,1,1,,1,1,3,2
ORD1065,POST016,CUST166,"'25.92032877601418, -80.20931148434236'",ID-Card,2024-12-12,2024-12-21,6,1,,3,1,1,1
ORD1066,POST017,CUST167,"'25.98077860265773, -80.3973582469588'",Passport,2024-12-13,2024-12-21,6,2,,2,1,2,3
ORD1067,POST018,CUST168,"'25.913824178034073, -80.11089022576473'",ID-Card,2024-12-14,2024-12-24,2,1,,3,1,3,2
ORD1068,POST019,CUST169,"'25.872140980860518, -80.15343179115239'",ID-Card,2024-12-15,2024-12-24,2,5,,1,1,1,1
ORD1069,POST020,CUST170,"'25.795076823630712, -80.21883163538324'",ID-Card,2024-12-16,2024-12-26,4,3,,3,1,2,3
ORD1070,POST021,CUST171,"'25.591158677366966, -80.05539604383647'",Drivers-License,2024-12-17,2024-12-28,6,1,,1,1,3,2
ORD1071,POST022,CUST172,"'25.965756210616725, -80.27024182695195'",ID-Card,2024-12-18,2024-12-30,1,1,,3,1,1,1
ORD1072,POST023,CUST173,"'25.87280907076011, -80.28485791722963'",Passport,2024-12-19,2024-12-31,2,2,,2,1,2,3
ORD1073,POST024,CUST174,"'25.560362402722458, -80.0069430869759'",Passport,2024-12-20,2025-01-02,4,1,4.0,3,1,3,2
ORD1074,POST025,CUST175,"'25.68384584059255, -80.06326585743811'",Fragile-Items,2024-12-21,2024-12-31,2,5,,2,1,1,1
ORD1075,POST026,CUST176,"'25.806239264129196, -80.13492656386563'",ID-Card,2024-12-22,2025-01-01,3,3,,2,1,2,3
ORD1076,POST027,CUST177,"'25.975459815727643, -80.13814038948342'",Drivers-License,2024-12-23,2025-01-03,5,1,,3,1,3,2
ORD1077,POST028,CUST178,"'25.816394139740822, -80.10082015064833'",Passport,2024-12-24,2025-01-06,1,1,,2,1,1,1
ORD1078,POST029,CUST179,"'25.980242276174412, -80.35160921016814'",ID-Card,2024-12-25,2025-01-06,1,2,,2,1,2,3
ORD1079,POST030,CUST180,"'25.621032730275065, -80.12961069536271'",Drivers-License,2024-12-26,2025-01-03,5,1,,2,0,3,2
ORD1080,POST031,CUST181,"'25.6452587555477, -80.33204556253588'",Passport,2024-12-27,2025-01-08,3,5,,3,1,1,1
ORD1081,POST032,CUST182,"'25.77104978695506, -80.0466932457952'",Passport,2024-12-28,2025-01-08,3,3,,3,1,2,3
ORD1082,POST033,CUST183,"'25.829142316301926, -80.19953570192189'",Drivers-License,2024-12-29,2025-01-07,2,1,,2,1,3,2
ORD1083,POST034,CUST184,"'25.97825270749203, -80.23819329445504'",ID-Card,2024-12-30,2025-01-08,3,1,,1,1,1,1
ORD1084,POST035,CUST185,"'25.922605485386452, -79.96983205898186'",Fragile-Items,2024-12-31,2025-01-07,2,2,,2,1,2,3
ORD1085,POST036,CUST186,"'25.518716567956673, -80.41815993092935'",ID-Card,2024-12-01,2024-12-09,1,1,,3,1,3,2
ORD1086,POST037,CUST187,"'25.770146222577534, -80.23889219210224'",Passport,2024-12-02,2024-12-11,3,5,,1,1,1,1
ORD1087,POST038,CUST188,"'25.744180932805012, -79.97829304727817'",ID-Card,2024-12-03,2024-12-13,5,3,4.0,3,1,2,3
ORD1088,POST039,CUST189,"'26.003617810621726, -80.25934951601636'",Drivers-License,2024-12-04,2024-12-16,1,1,,3,1,3,2
ORD1089,POST040,CUST190,"'26.006799768947, -80.07125672047745'",ID-Card,2024-12-05,2024-12-17,2,1,,2,1,1,1
ORD1090,POST041,CUST191,"'25.560742928494367, -80.06515829987407'",ID-Card,2024-12-06,2024-12-14,6,2,,3,1,2,3
ORD1091,POST042,CUST192,"'25.80419816420275, -80.07959873833781'",ID-Card,2024-12-07,2024-12-18,3,1,,3,1,3,2
ORD1092,POST043,CUST193,"'25.892295451006405, -80.40861712819725'",Drivers-License,2024-12-08,2024-12-17,2,5,1.0,3,1,1,1
ORD1093,POST044,CUST194,"'25.705999477468627, -80.25701388486205'",ID-Card,2024-12-09,2024-12-18,3,3,,3,1,2,3
ORD1094,POST045,CUST195,"'25.52113467716591, -79.97320872032921'",Passport,2024-12-10,2024-12-21,6,1,,1,0,3,2
ORD1095,POST046,CUST196,"'25.79650652415459, -79.97594903467254'",ID-Card,2024-12-11,2024-12-21,6,1,,1,1,1,1
ORD1096,POST047,CUST197,"'25.518309296167413, -80.07212517627143'",Drivers-License,2024-12-12,2024-12-20,5,2,,1,1,2,3
ORD1097,POST048,CUST198,"'25.877505233555674, -79.99782898965739'",Passport,2024-12-13,2024-12-26,4,1,,1,1,3,2
ORD1098,POST049,CUST199,"'25.54839690288364, -80.43016703253545'",Passport,2024-12-14,2024-12-24,2,1,,3,1,1,1
ORD1099,POST050,CUST200,"'25.685493035294233, -80.00762019770613'",Passport,2024-12-15,2024-12-24,2,3,,3,1,2,3
ORD1100,POST001,CUST201,"'25.81671491927213, -80.23946809471705'",Drivers-License,2024-12-16,2024-12-27,5,1,,3,1,3,2
ORD1101,POST002,CUST202,"'25.567127381463916, -80.1429693925009'",Drivers-License,2024-12-17,2024-12-30,1,1,,3,0,1,1
ORD1102,POST003,CUST203,"'25.75938007785609, -80.19545852399871'",ID-Card,2024-12-18,2024-12-28,6,2,,2,0,2,3
ORD1103,POST004,CUST204,"'25.638641459812288, -80.2181655688459'",ID-Card,2024-12-19,2024-12-31,2,1,,1,1,3,2
ORD1104,POST005,CUST205,"'25.766751467498548, -80.18348074399843'",Drivers-License,2024-12-20,2024-12-30,1,1,,2,1,1,1
ORD1105,POST006,CUST206,"'25.56032415758276, -80.02366343552413'",Drivers-License,2024-12-21,2025-01-03,5,3,,1,0,2,3
ORD1106,POST007,CUST207,"'25.674628033841937, -80.43205710474196'",ID-Card,2024-12-22,2025-01-01,3,1,,1,1,3,2
ORD1107,POST008,CUST208,"'25.606595194055245, -80.37317578445688'",Drivers-License,2024-12-23,2025-01-03,5,1,,1,1,1,1
ORD1108,POST009,CUST209,"'25.538764678690768, -80.2179221885502'",ID-Card,2024-12-24,2025-01-02,4,2,,1,1,2,3
ORD1109,POST010,CUST210,"'25.7098349727045, -80.19165407976678'",ID-Card,2024-12-25,2025-01-04,6,1,,2,0,3,2
ORD1110,POST011,CUST211,"'25.70186687193051, -80.27867546337067'",ID-Card,2024-12-26,2025-01-03,5,5,,2,1,1,1
ORD1111,POST012,CUST212,"'25.704024148436933, -80.26288867265451'",Drivers-License,2024-12-27,2025-01-07,2,3,,2,0,2,3
ORD1112,POST013,CUST213,"'25.962277739505122, -80.39288403334743'",Passport,2024-12-28,2025-01-06,1,1,,1,0,3,2
ORD1113,POST014,CUST214,"'25.916233795764647, -80.03467164456575'",ID-Card,2024-12-29,2025-01-08,3,1,,2,1,1,1
ORD1114,POST015,CUST215,"'25.916715396156206, -80.09887438439026'",Passport,2024-12-30,2025-01-09,4,2,,2,1,2,3
ORD1115,POST016,CUST216,"'25.811679832094264, -80.0145052666539'",ID-Card,2024-12-31,2025-01-09,4,1,,1,1,3,2
ORD1116,POST017,CUST217,"'25.84857080430995, -80.41516339629115'",Drivers-License,2024-12-01,2024-12-10,2,5,,3,1,1,1
ORD1117,POST018,CUST218,"'25.82092709454646, -80.27866733404439'",ID-Card,2024-12-02,2024-12-12,4,3,,2,1,2,3
ORD1118,POST019,CUST219,"'25.828751115288153, -80.18485314701532'",Drivers-License,2024-12-03,2024-12-11,3,1,,2,0,3,2
ORD1119,POST020,CUST220,"'25.691458575183386, -80.38092404325558'",ID-Card,2024-12-04,2024-12-16,1,1,,3,1,1,1
ORD1120,POST021,CUST221,"'25.58954511640051, -80.26416826628794'",ID-Card,2024-12-05,2024-12-14,6,2,,3,1,2,3
ORD1121,POST022,CUST222,"'25.719696255752375, -80.38616124940266'",Drivers-License,2024-12-06,2024-12-14,6,1,,1,0,3,2
ORD1122,POST023,CUST223,"'25.710769926609508, -80.18937424251624'",ID-Card,2024-12-07,2024-12-19,4,5,,3,1,1,1
ORD1123,POST024,CUST224,"'25.826053450042153, -79.96060534138759'",Drivers-License,2024-12-08,2024-12-17,2,3,,1,1,2,3
ORD1124,POST025,CUST225,"'25.81630808988367, -80.43444292204795'",Passport,2024-12-09,2024-12-17,2,1,,2,1,3,2
ORD1125,POST026,CUST226,"'25.630491583755703, -80.17239021712325'",ID-Card,2024-12-10,2024-12-18,3,1,,2,1,1,1
ORD1126,POST027,CUST227,"'25.53048764457714, -80.42812382937451'",ID-Card,2024-12-11,2024-12-23,1,2,,1,1,2,3
ORD1127,POST028,CUST228,"'25.82272072747806, -80.15704432413297'",ID-Card,2024-12-12,2024-12-24,2,1,,2,1,3,2
ORD1128,POST029,CUST229,"'25.656832164045454, -80.05228145948026'",Drivers-License,2024-12-13,2024-12-26,4,5,,1,1,1,1
ORD1129,POST030,CUST230,"'25.528862752802052, -80.27835626255425'",Drivers-License,2024-12-14,2024-12-26,4,3,,3,1,2,3
ORD1130,POST031,CUST231,"'25.978689476681506, -80.06557648007879'",Drivers-License,2024-12-15,2024-12-24,2,1,2.0,2,1,3,2
ORD1131,POST032,CUST232,"'25.527568274719954, -80.01931643285016'",Drivers-License,2024-12-16,2024-12-26,4,1,,3,1,1,1
ORD1132,POST033,CUST233,"'25.757808537523136, -80.23534798884306'",ID-Card,2024-12-17,2024-12-27,5,2,,3,1,2,3
ORD1133,POST034,CUST234,"'25.615592837433056, -80.3072972409821'",Drivers-License,2024-12-18,2024-12-27,5,1,,2,1,3,2
ORD1134,POST035,CUST235,"'25.732718209766634, -80.23428269839005'",Passport,2024-12-19,2024-12-28,6,5,,3,1,1,1
ORD1135,POST036,CUST236,"'25.62115274657807, -80.12578279328915'",ID-Card,2024-12-20,2024-12-31,2,3,,2,1,2,3
ORD1136,POST037,CUST237,"'25.995252246239897, -80.27763630913395'",ID-Card,2024-12-21,2025-01-02,4,1,,2,1,3,2
ORD1137,POST038,CUST238,"'25.8682580099048, -80.33204559498907'",Drivers-License,2024-12-22,2025-01-02,4,1,,1,1,1,1
ORD1138,POST039,CUST239,"'25.84221199460806, -80.38746298329376'",ID-Card,2024-12-23,2025-01-04,6,2,,3,1,2,3
ORD1139,POST040,CUST240,"'25.83177336425679, -79.97119769962079'",Passport,2024-12-24,2025-01-04,6,1,,2,0,3,2
ORD1140,POST041,CUST241,"'25.805262451542895, -80.2530384806974'",ID-Card,2024-12-25,2025-01-04,6,1,,3,1,1,1
ORD1141,POST042,CUST242,"'25.704408141407857, -80.18784747782851'",Passport,2024-12-26,2025-01-07,2,3,,3,1,2,3
ORD1142,POST043,CUST243,"'25.577430242690298, -80.13827918342551'",Passport,2024-12-27,2025-01-08,3,1,,3,1,3,2
ORD1143,POST044,CUST244,"'25.68399421886902, -80.35907441979968'",Drivers-License,2024-12-28,2025-01-09,4,1,,1,1,1,1
ORD1144,POST045,CUST245,"'25.631315945138716, -80.18430803065725'",Drivers-License,2024-12-29,2025-01-06,1,2,,1,1,2,3
ORD1145,POST046,CUST246,"'25.75077169514545, -79.99462754924694'",ID-Card,2024-12-30,2025-01-10,5,1,,3,1,3,2
ORD1146,POST047,CUST247,"'25.836609274065236, -80.16064168394418'",ID-Card,2024-12-31,2025-01-10,5,1,,1,1,1,1
ORD1147,POST048,CUST248,"'25.54928395102572, -80.2190851003453'",ID-Card,2024-12-01,2024-12-11,3,3,,1,1,2,3
ORD1148,POST049,CUST249,"'25.612828451837693, -80.14613188790656'",ID-Card,2024-12-02,2024-12-12,4,1,,2,1,3,2
ORD1149,POST050,CUST250,"'25.528189700199434, -79.98688414912107'",ID-Card,2024-12-03,2024-12-11,3,1,,1,1,1,1
ORD1150,POST001,CUST251,"'25.93850097362666, -80.12457974347174'",ID-Card,2024-12-04,2024-12-12,4,2,,1,1,2,3
ORD1151,POST002,CUST252,"'25.77102515211394, -80.21508725980435'",ID-Card,2024-12-05,2024-12-13,5,1,,3,0,3,2
ORD1152,POST003,CUST253,"'25.943315204783755, -80.23339620627472'",ID-Card,2024-12-06,2024-12-18,3,5,,2,0,1,1
ORD1153,POST004,CUST254,"'25.942280949417132, -79.97682259712279'",Passport,2024-12-07,2024-12-18,3,3,,3,1,2,3
ORD1154,POST005,CUST255,"'25.751318598906014, -80.26545768919895'",Passport,2024-12-08,2024-12-18,3,1,,3,0,3,2
ORD1155,POST006,CUST256,"'25.53518610415347, -80.36944611995587'",ID-Card,2024-12-09,2024-12-18,3,1,,3,1,1,1
ORD1156,POST007,CUST257,"'25.962311619278694, -80.00252877736591'",ID-Card,2024-12-10,2024-12-18,3,2,,1,1,2,3
ORD1157,POST008,CUST258,"'25.538520671059594, -80.12865538093438'",Drivers-License,2024-12-11,2024-12-23,1,1,,3,1,3,2
ORD1158,POST009,CUST259,"'25.95905817771665, -80.3216456779394'",Passport,2024-12-12,2024-12-20,5,5,4.0,2,1,1,1
ORD1159,POST010,CUST260,"'25.87659039040273, -80.36831247475754'",ID-Card,2024-12-13,2024-12-23,1,3,,2,1,2,3
ORD1160,POST011,CUST261,"'25.978571907908368, -80.21263761697713'",Drivers-License,2024-12-14,2024-12-24,2,1,,2,1,3,2
ORD1161,POST012,CUST262,"'26.009768852176723, -80.29299634346816'",ID-Card,2024-12-15,2024-12-27,5,1,,2,1,1,1
ORD1162,POST013,CUST263,"'25.69617300203442, -80.03073490722694'",Drivers-License,2024-12-16,2024-12-28,6,2,,2,1,2,3
ORD1163,POST014,CUST264,"'25.873410290539585, -79.97671904112826'",ID-Card,2024-12-17,2024-12-28,6,1,,1,1,3,2
ORD1164,POST015,CUST265,"'25.879475330676065, -80.07092924394745'",ID-Card,2024-12-18,2024-12-27,5,5,,1,1,1,1
ORD1165,POST016,CUST266,"'25.784213244806477, -80.42048282508253'",Drivers-License,2024-12-19,2025-01-01,3,3,,1,1,2,3
ORD1166,POST017,CUST267,"'25.572711149094367, -79.96267276178273'",Passport,2024-12-20,2025-01-01,3,1,,2,1,3,2
ORD1167,POST018,CUST268,"'25.909914217765174, -80.04495784397663'",ID-Card,2024-12-21,2025-01-02,4,1,,1,1,1,1
ORD1168,POST019,CUST269,"'25.834342650690385, -80.35675983965824'",ID-Card,2024-12-22,2024-12-31,2,2,,3,1,2,3
ORD1169,POST020,CUST270,"'25.92192203882893, -80.27637088380625'",ID-Card,2024-12-23,2025-01-02,4,1,,1,0,3,2
ORD1170,POST021,CUST271,"'25.985602202690245, -80.13767973901128'",Drivers-License,2024-12-24,2025-01-02,4,5,,3,1,1,1
ORD1171,POST022,CUST272,"'25.92071429260905, -79.94410523962429'",Passport,2024-12-25,2025-01-02,4,3,,2,0,2,3
ORD1172,POST023,CUST273,"'25.993514040971952, -80.1260518677162'",ID-Card,2024-12-26,2025-01-03,5,1,,2,1,3,2
ORD1173,POST024,CUST274,"'25.819723133974108, -80.04935293574707'",ID-Card,2024-12-27,2025-01-07,2,1,,3,1,1,1
ORD1174,POST025,CUST275,"'25.58333972101491, -80.39267287696767'",ID-Card,2024-12-28,2025-01-06,1,2,,2,1,2,3
ORD1175,POST026,CUST276,"'25.554976699128755, -80.03369560308144'",ID-Card,2024-12-29,2025-01-06,1,1,,2,1,3,2
ORD1176,POST027,CUST277,"'25.921857455818458, -80.41389534957452'",ID-Card,2024-12-30,2025-01-07,2,5,,2,1,1,1
ORD1177,POST028,CUST278,"'25.534907843205737, -80.04268633211765'",Passport,2024-12-31,2025-01-11,6,3,,1,1,2,3
ORD1178,POST029,CUST279,"'25.754454188076295, -80.37174186644252'",Passport,2024-12-01,2024-12-10,2,1,,1,1,3,2
ORD1179,POST030,CUST280,"'25.798204736484575, -80.07018651289272'",Drivers-License,2024-12-02,2024-12-13,5,1,,1,1,1,1
ORD1180,POST031,CUST281,"'25.637711196063446, -80.10596473066377'",Articles,2024-12-03,2024-12-11,3,2,,3,1,2,3
ORD1181,POST032,CUST282,"'25.828726751396715, -80.11317745078051'",ID-Card,2024-12-04,2024-12-14,6,1,,3,1,3,2
ORD1182,POST033,CUST283,"'25.952998618423553, -80.04085883682258'",Passport,2024-12-05,2024-12-14,6,1,,1,1,1,1
ORD1183,POST034,CUST284,"'25.63065316227376, -80.40784080643054'",Drivers-License,2024-12-06,2024-12-16,1,3,,1,1,2,3
ORD1184,POST035,CUST285,"'25.882476179407004, -80.04151406957601'",Passport,2024-12-07,2024-12-16,1,1,,1,1,3,2
ORD1185,POST036,CUST286,"'25.564954427091344, -80.12691698697384'",ID-Card,2024-12-08,2024-12-16,1,1,,1,0,1,1
ORD1186,POST037,CUST287,"'25.92439254755956, -80.24499355403253'",ID-Card,2024-12-09,2024-12-18,3,2,,2,1,2,3
ORD1187,POST038,CUST288,"'26.007141894957172, -80.1069103495433'",Passport,2024-12-10,2024-12-21,6,1,,2,1,3,2
ORD1188,POST039,CUST289,"'25.890626016191412, -80.26068361984322'",Drivers-License,2024-12-11,2024-12-19,4,1,,2,1,1,1
ORD1189,POST040,CUST290,"'25.555599054065002, -80.14837840483557'",ID-Card,2024-12-12,2024-12-20,5,3,,3,1,2,3
ORD1190,POST041,CUST291,"'25.74175724027337, -80.28566265253428'",ID-Card,2024-12-13,2024-12-21,6,1,,1,1,3,2
ORD1191,POST042,CUST292,"'25.931821141281077, -80.01325350529234'",ID-Card,2024-12-14,2024-12-27,5,1,,3,0,1,1
ORD1192,POST043,CUST293,"'25.958482007849803, -80.12242779928903'",ID-Card,2024-12-15,2024-12-27,5,2,,2,1,2,3
ORD1193,POST044,CUST294,"'25.605864131888506, -80.11091961946829'",ID-Card,2024-12-16,2024-12-24,2,1,,1,1,3,2
ORD1194,POST045,CUST295,"'25.94915864237645, -80.38964441205104'",ID-Card,2024-12-17,2024-12-28,6,5,,3,1,1,1
ORD1195,POST046,CUST296,"'25.822941782184053, -79.99014647220223'",ID-Card,2024-12-18,2024-12-28,6,3,,3,1,2,3
ORD1196,POST047,CUST297,"'25.712740542596663, -80.06645940852866'",Passport,2024-12-19,2024-12-30,1,1,,3,1,3,2
ORD1197,POST048,CUST298,"'25.716880804603374, -79.95827096748982'",Articles,2024-12-20,2024-12-30,1,1,,3,1,1,1
ORD1198,POST049,CUST299,"'25.53526170425498, -80.07845813239217'",Passport,2024-12-21,2025-01-01,3,2,,3,1,2,3
ORD1199,POST050,CUST300,"'25.51693498703973, -80.1999093585759'",Drivers-License,2024-12-22,2025-01-03,5,1,,3,1,3,2
ORD1200,POST001,CUST001,"'25.741112306726503, -80.28622279759489'",Fragile-Items,2024-12-23,2025-01-01,3,5,,3,1,1,1
ORD1201,POST002,CUST002,"'25.94317947208743, -80.08584800398735'",Drivers-License,2024-12-24,2025-01-02,4,3,,2,1,2,3
ORD1202,POST003,CUST003,"'25.899721688495557, -80.3609982062751'",Drivers-License,2024-12-25,2025-01-04,6,1,,1,1,3,2
